set school = schoolPlayground.jpg
set classroom = classroom.jpg

set teacher = male.png
set friendSmile = friendSmile.png
set friendNotHappy = friend.png
set friend2 = friend2.png
set girl = girl.png
set girlSmile = girlSmile.png

bg #{school}
msg 我 真是不敢相信，两个月前我还是一名初中生，现在我已经踏入高中的校门了。

msg 我 时间过得真快，还没来得及告别就已经成为一名高中生了。

msg 我 不知道我会有怎样的高中生活。

bg #{classroom}
msg 我 这么多人已经到了？随便找个位子坐吧，估计老师马上就来了。

msg ？ 大家快回位子上坐好。

cg #{teacher}
msg 彭老师 同学们好，我是你们的班主任。你们可以叫我彭老师。不知道大家的暑假生活过得怎么样？从今天起，大家正式成为了一名高中生。升入高中，意味着你们在逐渐长大和成熟，同时也面临着更繁重的学习任务和更为激烈的竞争。

msg 彭老师 与此同时，也要处理好与同学之间的关系。并不是说学习成绩就是一切……

msg 我 ……

msg 我 …………

msg 彭老师 希望大家能有一个愉快而又充实的高中生活。

msg 我 真是的，为什么班主任开学的讲话都是这么长呢？一上来就给压力，受不了。

cg del
cg #{friendSmile}
msg ？ 哟，你也在这里啊？刚才怎么没看到你？

msg 我 哦，之前在低头玩手机。没发现我很正常。

msg 我 这哥们是欧阳，之前初中是跟我一个班上的，人还不错。我跟他关系还行。

msg 欧阳 彭老师一上来就讲些高考之类的东西，烦死了。本来还觉得自己会有个美好的高中生活，现在觉得会很苦逼啊。

msg 我 哈哈，我也这么觉得。对了，这个班就我们俩是初中同学吗？

msg 欧阳 我看了一下，还有两三个女生吧。不过初中的时候就没怎么跟她们说过话。

msg 我 嗯，我也是。

msg 欧阳 你有没有观察到美女？

msg 我 哈？没注意。都说了我在玩手机了。

msg 欧阳 真是的。你还是不是男人？来到一个新环境，第一件事当然是找有没有美女啦。毕竟我们要在这个班呆三年，这可是很重要的。

msg 我 ……

msg 欧阳 怎么了？你那是什么眼神？

msg 我 没什么。

msg 欧阳 我看到了深深的鄙视。你是不是在想：”这个人是不是白痴？“

msg 我 没有没有，怎么可能。

msg 欧阳 我觉得我看人还是很准的。

msg 我 别纠结这个了，我真没这么想。

msg 我 ……

msg 我 …………

msg 跟欧阳一直聊到上课。果然在陌生的环境里有一两个认识的人还是挺不错，至少不会觉得那么孤单和不自在。

